,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv,kdd99-unsupervised-ad.csv
0,ISO,0.7574,0.9293,0.9776,0.5243,0.5399,0.9992,0.6394,0.9547,0.6981,0.9841
1,KNN,0.9789,0.9854,0.9788,0.45,0.6825,0.9529,0.894,0.9735,0.6168,0.983447000698129
2,KthNN,0.9805,0.992,0.9816,0.4342,0.6517,0.9598,0.8647,0.9724,0.5983,0.987683435137994
3,LOF,0.9826,0.8869,0.9971,0.4655,0.7728,0.5609,0.9098,0.9754,0.6593,0.652260000264884
4,CBLOF,0.9628,0.5838,0.4699,0.5684,0.5618,0.975,0.8277,0.6501,0.6044,0.8322
5,uCBLOF,0.9409,0.9868,0.9937,0.4309,0.5655,0.9891,0.8336,0.9645,0.5705,0.9985
6,LOoP,0.9837,0.8475,0.9857,0.5021,0.79,0.5235,0.9066,0.9565,0.6879,0
7,LDCOF,0.9543,0.9944,0.9917,0.5053,0.5864,0.9901,0.8106,0.9707,0.5741,0.9925
8,HBOS,0.7393,0.7242,0.9759,0.4306,0.5391,0.9979,0.7142,0.9526,0.7399,0.9952
9,OCSVM,0.6278,0.9473,0.9834,0.551,0.5381,0.9888,0.5938,0.9205,0.4927,0.9679
10,Nu-OCSVM,0.6017,0.9354,0.9828,0.551,0.5358,0.9886,0.5937,0.9144,0.4927,0.9632
11,AE,0.4581,0.8127,0.973,0.4858,0.5544,0.9956,0.5019,0.8922,0.5824,0.9995
